8.8.21,TRG4,X,D,22,1
8.8.21,TRG4,X,F,0,1
8.8.21,TRG4,X,D,0,1
11.8.21,OP6,X,A,0,1
11.8.21,OP6,X,A,0,1
11.8.21,TRG4,X,D,0,1
15.8.21,TRG4,X,C,0,1
15.8.21,OP6,X,C,0,1
15.8.21,OP6,X,C,0,1
15.8.21,OP6,R1,C,0,1
2.9.21,OP6,L1,C,22,1
2.9.21,OP6,R1,C,19.4,1
5.9.21,OP6,L1,C,22.7,1
5.9.21,OP6,R1,C,20.4,1
5.9.21,OP6,X,D,22.5,1
9.9.21,OP6,L1,C,22.9,1
9.9.21,OP6,X,D,22.6,1
9.9.21,OP6,R1,C,21.2,1
12.9.21,OP6,R1,C,21.3,1
12.9.21,OP6,L1,C,23.4,1
12.9.21,OP6,X,D,22.1,1
13.9.21,OP6,R1,C,20.6,1
13.9.21,OP6,L1,C,22.6,1
13.9.21,OP6,X,E,20.65,1
14.9.21,OP6,L1,C,22.6,1
14.9.21,OP6,X,E,21.5,1
14.9.21,OP6,R1,C,20.4,1
19.9.21,OP6,R1,D,21.3,1
19.9.21,OP6,X,E,22.4,1
19.9.21,OP6,L1,C,23.9,1
23.9.21,OP6,X,E,22.9,1
23.9.21,OP6,R1,D,21.7,1
23.9.21,OP6,L1,C,24.3,1
26.9.21,OP6,X,E,22.5,1
26.9.21,OP6,L1,C,23.2,1
26.9.21,OP6,R1,C,20.9,1
29.9.21,OP6,L1,C,22.9,1
29.9.21,OP6,R1,C,20.9,1
29.9.21,OP6,X,E,22.1,1
30.9.21,OP6,L1,C,22.6,1
30.9.21,OP6,X,E,22.1,1
30.9.21,OP6,R1,C,21.1,1
3.10.21,OP6,R1,C,24.2,1
3.10.21,OP6,X,E,22.8,1
3.10.21,OP6,L1,C,21.6,1
6.10.21,OP6,X,E,22.1,1
7.10.21,OP6,X,E,22,1
10.10.21,OP6,R1,C,20.5,1
10.10.21,OP6,L1,C,22.3,1
10.10.21,OP6,X,E,22.7,1
20.1.22,OP10,X,E,20.3,1
20.1.22,OP10,L1,C,20.4,1
23.1.22,OP10,X,E,20.9,1
23.1.22,OP11,X,C,23,1
23.1.22,OP11,R1,E,23.9,1
23.1.22,OP10,L1,C,21.6,1
24.1.22,OP11,R1,E,22.9,1
24.1.22,OP11,X,D,22.7,1
24.1.22,OP10,X,E,20.6,1
24.1.22,OP10,L1,C,20.7,1
26.1.22,OP11,R1,E,23.9,1
26.1.22,OP11,X,D,23,1
